Episode = 199, Score = 168.49077343540645, Avg_Score = 88.40651402808747
Episode = 200, Score = -38.37658886120062, Avg_Score = 86.84681094943757
Episode = 201, Score = 23.63137512624141, Avg_Score = 88.95760149769491
Episode = 202, Score = -59.38064145534158, Avg_Score = 88.66081947049791
Episode = 203, Score = -3.7412079543053096, Avg_Score = 86.48262309677978
Episode = 204, Score = -44.19984319733459, Avg_Score = 86.8867494062122
Episode = 205, Score = 224.51221682977723, Avg_Score = 86.68256189916993
Episode = 206, Score = 230.0890559828574, Avg_Score = 86.91377654784303
Episode = 207, Score = -219.08407375988924, Avg_Score = 82.32877291367797
Episode = 208, Score = 237.96445006768766, Avg_Score = 85.90227695837939
Episode = 209, Score = 224.8594538400684, Avg_Score = 85.78471210850402
Episode = 210, Score = 197.35389600011996, Avg_Score = 86.60622893746708
Episode = 211, Score = -144.7058042561438, Avg_Score = 85.41241993787553
Episode = 212, Score = 261.27382084043404, Avg_Score = 85.74477168134938
Episode = 213, Score = 259.2384977436203, Avg_Score = 94.0246202017558
Episode = 214, Score = -220.77519944784973, Avg_Score = 89.5341615885524
Episode = 215, Score = 264.78726357996777, Avg_Score = 92.53626652676233
Episode = 216, Score = 204.5279077660267, Avg_Score = 92.18956378038285
Episode = 217, Score = 292.6165209549262, Avg_Score = 93.11435571056461
Episode = 218, Score = 232.5364749372014, Avg_Score = 95.31530766037042
Episode = 219, Score = 197.02799789762344, Avg_Score = 97.42695867012006
Episode = 220, Score = -295.03484853349335, Avg_Score = 94.68798965892819
Episode = 221, Score = 248.76380381689157, Avg_Score = 97.02850784611942
Episode = 222, Score = 5.176648451264356, Avg_Score = 95.1471040612429
Episode = 223, Score = -34.4206700512225, Avg_Score = 93.03877243560503
Episode = 224, Score = 259.5999263327203, Avg_Score = 95.10495702070934
Episode = 225, Score = 226.04075525743534, Avg_Score = 97.03217340454576
Episode = 226, Score = -159.41529684380203, Avg_Score = 95.6676333961853
Episode = 227, Score = 244.61101416027392, Avg_Score = 95.94425416021222
Episode = 228, Score = -90.72621271698816, Avg_Score = 92.44849174404767
Episode = 229, Score = 248.68428724553908, Avg_Score = 92.59748954560486
Episode = 230, Score = -400.81085782945183, Avg_Score = 88.69994497708446
Episode = 231, Score = 4.6763173633440545, Avg_Score = 86.83284428043453
Episode = 232, Score = 267.8721767953349, Avg_Score = 88.06263775827541
Episode = 233, Score = 228.015834127021, Avg_Score = 88.08994591700562
Episode = 234, Score = 241.02706746235341, Avg_Score = 88.12091622932681
Episode = 235, Score = 33.631507407914484, Avg_Score = 86.24701228585558
Episode = 236, Score = 254.258926377025, Avg_Score = 86.50777935904063
Episode = 237, Score = 218.17049929744633, Avg_Score = 86.06831120815892
Episode = 238, Score = 289.0874901822537, Avg_Score = 87.20184361761545
Episode = 239, Score = 133.07686158660948, Avg_Score = 86.2993311378251
Episode = 240, Score = -95.37401816853567, Avg_Score = 82.95004295634094
Episode = 241, Score = 225.8958195752948, Avg_Score = 84.7994805194918
Episode = 242, Score = 235.59530260953565, Avg_Score = 87.0158299216289
Episode = 243, Score = 246.99368207567693, Avg_Score = 89.61993302875518
Episode = 244, Score = 199.15170024129537, Avg_Score = 91.20696851419063
Episode = 245, Score = 248.23848572571166, Avg_Score = 91.07121789768739
