Episode = 206, Score = 179.5818455695167, Avg_Score = 112.66267636637048
Episode = 207, Score = 268.57677381083795, Avg_Score = 116.47615264615582
Episode = 208, Score = 191.47050267388585, Avg_Score = 119.69041017660167
Episode = 209, Score = 152.75605427708612, Avg_Score = 122.7826322752508
Episode = 210, Score = 280.3727834553051, Avg_Score = 130.37439537722153
Episode = 211, Score = 177.96365544100848, Avg_Score = 136.04086381877926
Episode = 212, Score = 203.56554958132224, Avg_Score = 137.77261041283518
Episode = 213, Score = -224.151496188247, Avg_Score = 134.54524383460125
Episode = 214, Score = 227.15469975761204, Avg_Score = 139.3887645659647
Episode = 215, Score = 219.55017235263284, Avg_Score = 143.0367455708397
Episode = 216, Score = 165.80789748044748, Avg_Score = 143.4503940771371
Episode = 217, Score = 9.026739075752886, Avg_Score = 142.09917346670403
Episode = 218, Score = -127.71091888666993, Avg_Score = 139.96154641798984
Episode = 219, Score = 13.158663140670015, Avg_Score = 141.53602219171026
Episode = 220, Score = 244.022058705526, Avg_Score = 144.8455234987971
Episode = 221, Score = 169.0296730339985, Avg_Score = 147.2750350767421
Episode = 222, Score = 256.70601583086835, Avg_Score = 151.053570688494
Episode = 223, Score = 232.71291072555772, Avg_Score = 151.14306193323844
Episode = 224, Score = 170.34503136683077, Avg_Score = 154.33406311846846
Episode = 225, Score = 189.06803302506935, Avg_Score = 154.749518059814
Episode = 226, Score = -125.79363273184, Avg_Score = 153.36062359477665
Episode = 227, Score = 222.872921344459, Avg_Score = 153.82583942458146
Episode = 228, Score = 176.1803435561613, Avg_Score = 156.53393273421258
Episode = 229, Score = 282.0727994146672, Avg_Score = 159.37660824004953
Episode = 230, Score = 202.96530785630475, Avg_Score = 159.13678790215144
Episode = 231, Score = 254.80407901555108, Avg_Score = 160.30032782477107
Episode = 232, Score = 259.78782604849494, Avg_Score = 160.73594378951617
Episode = 233, Score = 236.9961231593259, Avg_Score = 163.17492477443554
Episode = 234, Score = -114.30533000385259, Avg_Score = 164.05966609732465
Episode = 235, Score = 256.26512815071095, Avg_Score = 166.51540368562695
Episode = 236, Score = 220.92857927657246, Avg_Score = 166.87777707974405
Episode = 237, Score = -160.1077033836409, Avg_Score = 162.52706887677013
Episode = 238, Score = 163.9649298503597, Avg_Score = 162.2554432926388
Episode = 239, Score = 120.47910754831383, Avg_Score = 164.819649041768
Episode = 240, Score = 252.61611275580356, Avg_Score = 165.8033727358892
Episode = 241, Score = 231.31934105455093, Avg_Score = 170.41991668468745
Episode = 242, Score = -126.0885197758329, Avg_Score = 171.05553740198332
Episode = 243, Score = 257.46306880212137, Avg_Score = 174.77013333451836
Episode = 244, Score = -169.56133104534823, Avg_Score = 174.6644505651293
Episode = 245, Score = 157.68972962247577, Avg_Score = 173.40585209199472
Episode = 246, Score = 190.89379051946958, Avg_Score = 174.85568091831908
Episode = 247, Score = 227.9624593596482, Avg_Score = 175.4403155330864
Episode = 248, Score = 233.88057307331832, Avg_Score = 175.52519947205326
Episode = 249, Score = 196.9750434945645, Avg_Score = 178.5308347666726
Episode = 250, Score = 203.6029389461425, Avg_Score = 178.01355261154103
Episode = 251, Score = 218.25054355750575, Avg_Score = 177.7781746257645
Episode = 252, Score = 161.68816205305654, Avg_Score = 177.47492866926518
Episode = 253, Score = 248.8219928788984, Avg_Score = 177.65089055528412
Episode = 254, Score = 268.37501831172716, Avg_Score = 178.080293925074
Episode = 255, Score = 289.1950972444664, Avg_Score = 178.8377333774202
Episode = 256, Score = 253.5194065037483, Avg_Score = 179.60472693001032
Episode = 257, Score = -127.00579844436052, Avg_Score = 175.71404629613943
Episode = 258, Score = 275.1050975127907, Avg_Score = 176.12445423868644
Episode = 259, Score = 256.1305543180956, Avg_Score = 176.54206344090068
Episode = 260, Score = 241.75325208504262, Avg_Score = 176.46076276308912
Episode = 261, Score = 225.79614603562212, Avg_Score = 176.63270889041735
Episode = 262, Score = 191.1965431879284, Avg_Score = 175.8420366144113
Episode = 263, Score = 99.25355103656702, Avg_Score = 174.10366665798063
Episode = 264, Score = 165.3866155672432, Avg_Score = 173.35831293392516
Episode = 265, Score = 221.67745131035844, Avg_Score = 173.34943512887082
Episode = 266, Score = 223.84889334281567, Avg_Score = 174.52148596184352
Episode = 267, Score = 193.7062494680126, Avg_Score = 173.90408605446112
Episode = 268, Score = 163.67328399809048, Avg_Score = 173.2179535498287
Episode = 269, Score = 273.10696678689135, Avg_Score = 176.458239995601
Episode = 270, Score = 209.84778221570377, Avg_Score = 176.8767223846839
Episode = 271, Score = 138.60658311927162, Avg_Score = 176.48897599138556
Episode = 272, Score = 276.88602259833374, Avg_Score = 177.27864233862007
Episode = 273, Score = 260.77997738073014, Avg_Score = 178.14814724391306
Episode = 274, Score = 78.97536268106332, Avg_Score = 176.94901120916515
Episode = 275, Score = 290.0519836730887, Avg_Score = 177.50780725648812
Episode = 276, Score = 242.64139588881716, Avg_Score = 177.69832152797338
Episode = 277, Score = 235.44976276755395, Avg_Score = 177.72424782965675
Episode = 278, Score = 247.44181351653603, Avg_Score = 177.5438162321077
Episode = 279, Score = 216.35974629451826, Avg_Score = 177.09565330761308
Episode = 280, Score = -219.2250325310354, Avg_Score = 172.27756373074706
Episode = 281, Score = 244.00141143848248, Avg_Score = 172.7393658141963
Episode = 282, Score = 212.05181775119217, Avg_Score = 172.79968930383578
Episode = 283, Score = 206.72724503493998, Avg_Score = 172.83335204714814
Episode = 284, Score = 247.56727371075198, Avg_Score = 172.78934082884064
Episode = 285, Score = 247.87407621904853, Avg_Score = 172.59245832199906
Episode = 286, Score = 257.3706936453475, Avg_Score = 173.49763563163881
Episode = 287, Score = 263.2782309997267, Avg_Score = 173.49614538688874
Episode = 288, Score = 284.3719205874698, Avg_Score = 177.81647978714423
Episode = 289, Score = 254.9495517567924, Avg_Score = 178.1179216918828
Episode = 290, Score = 259.7792183790734, Avg_Score = 178.45783057962365
Episode = 291, Score = 223.4183588719717, Avg_Score = 178.73520762603866
Episode = 292, Score = 239.27112880393105, Avg_Score = 178.91308268776288
Episode = 293, Score = 253.82067195664956, Avg_Score = 179.31073836347554
Episode = 294, Score = -167.22219625911202, Avg_Score = 175.18341204044322
Episode = 295, Score = 202.8923852918952, Avg_Score = 174.51587505655786
Episode = 296, Score = 286.30495433311717, Avg_Score = 174.9084059178583
Episode = 297, Score = 208.37797831557214, Avg_Score = 174.69632648879946
Episode = 298, Score = -263.22713427313397, Avg_Score = 169.73105290945438
Episode = 299, Score = 281.63411584469463, Avg_Score = 170.36840730366595
Episode = 300, Score = 270.5515371626959, Avg_Score = 171.39259988467919
Episode = 301, Score = 198.12541954207202, Avg_Score = 171.01663263760977
Episode = 302, Score = 256.50350681965097, Avg_Score = 175.0796918335056
Episode = 303, Score = 249.28042471762936, Avg_Score = 175.08756216620074
Episode = 304, Score = 273.3018712419064, Avg_Score = 175.94090825466535
Episode = 305, Score = 208.68934320126561, Avg_Score = 176.73858559590226
Episode = 306, Score = 145.49940545564698, Avg_Score = 176.39776119476358
Episode = 307, Score = 259.1148173402552, Avg_Score = 176.30314163005775
Episode = 308, Score = 269.30753653349245, Avg_Score = 177.08151196865379
Episode = 309, Score = 249.8333014861256, Avg_Score = 178.0522844407442
Episode = 310, Score = 175.03184909445002, Avg_Score = 176.99887509713565
Episode = 311, Score = 217.60493934318248, Avg_Score = 177.39528793615736
Episode = 312, Score = 168.16634149254264, Avg_Score = 177.04129585526957
Episode = 313, Score = 201.92393757100797, Avg_Score = 181.3020501928621
Episode = 314, Score = 279.10253398612593, Avg_Score = 181.82152853514725
Episode = 315, Score = 291.3228476061846, Avg_Score = 182.53925528768278
Episode = 316, Score = 240.90245518527166, Avg_Score = 183.29020086473105
Episode = 317, Score = 218.34750180802337, Avg_Score = 185.38340849205375
Episode = 318, Score = 12.016577621106137, Avg_Score = 186.78068345713152
Episode = 319, Score = 283.5685712041994, Avg_Score = 189.48478253776682
Episode = 320, Score = 228.77609265958836, Avg_Score = 189.33232287730746
Episode = 321, Score = 236.58606961703066, Avg_Score = 190.00788684313775
Episode = 322, Score = 263.9463846947584, Avg_Score = 190.08029053177665
